Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Eritrea,ERI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.315414131,0.311141479,,,,,,,,
Spain,ESP,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207.0554421,265.0039641,403.6298249,488.330717,625.8487092,889.5715243,2762.589077,7247.039034,11320.66693,
Estonia,EST,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,535.496348,730.7303763,1255.768521,1613.812475,2194.675724,3120.707127,10786.67569,29131.21763,48933.89578,
Ethiopia,ETH,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034230959,0.044375452,0.258824372,0.293544788,0.366993977,0.327265831,0.405391706,0.714285553,1.464872017,
European Union,EUU,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,591.0107531,842.9564119,1254.616368,1485.014647,1872.330782,2529.526258,6746.422135,18869.87696,29326.02712,
Fragile and conflict affected situations,FCS,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542602761,0.861192324,1.633845866,2.061869705,2.973306089,3.796489045,9.893556576,29.02474375,32.91534094,
Finland,FIN,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1017.460722,1581.026348,2205.22053,2525.477241,3008.873733,3395.181084,7131.362911,22324.1145,33983.56303,
Fiji,FJI,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.11947877,24.32106586,47.39506328,49.67606584,73.86436425,90.94812848,113.4801851,149.2947249,173.1782049,
France,FRA,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,278.0515636,401.4062456,622.4660203,821.3496732,1188.896814,1897.185975,6674.44733,14831.19516,20414.94646,
Faroe Islands,FRO,Secure Internet servers (per 1 million people),IT.NET.SECR.P6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1735.893253,2258.327583,3135.254896,3466.132131,3628.023353,3683.58619,3695.01588,3931.224266,4639.462235,
